topic,level,days_spent,next_topic
segment tree,easy,2,binary indexed tree
breadth-first search,hard,7,graph theory
depth-first search,medium,5,breadth-first search
stack,easy,1,monotonic stack
probability,medium,5,statistics
two pointers,easy,2,array
array,easy,1,hash table
dynamic programming,hard,6,memoization
rolling hash,easy,1,suffix array
math,easy,2,number theory
string,medium,4,sorting
segment tree,easy,2,binary indexed tree
concurrency,hard,7,design
string matching,hard,6,rolling hash
backtracking,easy,2,recursion
depth-first search,hard,6,breadth-first search
recursion,hard,6,divide and conquer
greedy,hard,6,dynamic programming
binary tree,hard,6,depth-first search
binary indexed tree,hard,6,range query
shortest path,medium,4,graph theory
matrix,medium,5,simulation
array,medium,3,string
design,easy,1,system design
binary indexed tree,medium,5,range query
math,medium,5,number theory
graph theory,hard,7,shortest path
bitmask,easy,2,backtracking
tree,easy,2,binary tree
string matching,medium,5,rolling hash
sorting,medium,3,greedy
system design,hard,6,concurrency
monotonic stack,hard,7,sliding window
simulation,easy,1,design
two pointers,medium,4,array
greedy,easy,2,dynamic programming
probability,medium,4,statistics
matrix,medium,5,simulation
hash table,easy,2,graph theory
greedy,medium,4,dynamic programming
concurrency,hard,6,design
concurrency,medium,3,design
shortest path,easy,1,graph theory
trie,medium,4,string matching
binary search,hard,6,graph theory
dynamic programming,medium,4,bitmask
sliding window,medium,3,two pointers
matrix,easy,1,simulation
probability,easy,1,statistics
binary tree,easy,1,depth-first search
backtracking,easy,2,recursion
combinatorics,easy,2,probability
shortest path,easy,1,graph theory
trie,medium,4,string matching
design,hard,7,system design
bitmask,medium,5,backtracking
string matching,medium,3,rolling hash
rolling hash,hard,7,suffix array
divide and conquer,hard,6,segment tree
linked list,easy,2,doubly-linked list
simulation,hard,7,design
design,easy,1,system design
monotonic stack,hard,6,sliding window
binary search,medium,5,graph theory
stack,medium,3,monotonic stack
breadth-first search,medium,5,graph theory
graph theory,hard,6,shortest path
recursion,hard,7,divide and conquer
divide and conquer,medium,5,segment tree
graph theory,easy,2,shortest path
binary search,medium,3,graph theory
design,hard,7,system design
binary indexed tree,medium,3,range query
system design,easy,1,concurrency
tree,hard,7,graph theory
linked list,easy,2,doubly-linked list
system design,easy,1,concurrency
greedy,medium,5,dynamic programming
math,medium,4,number theory
binary search,medium,3,tree
combinatorics,medium,4,probability
greedy,hard,7,dynamic programming
dynamic programming,medium,4,bitmask
stack,easy,1,monotonic stack
breadth-first search,medium,4,graph theory
linked list,easy,2,doubly-linked list
breadth-first search,easy,2,graph theory
string matching,easy,2,rolling hash
trie,easy,2,string matching
backtracking,medium,5,recursion
array,hard,6,hash table
rolling hash,hard,6,suffix array
combinatorics,medium,5,probability
tree,medium,5,binary tree
math,hard,7,number theory
hash table,medium,5,tree
probability,hard,6,statistics
math,easy,1,number theory
array,medium,5,hash table
binary indexed tree,easy,2,range query
system design,medium,3,concurrency
dynamic programming,easy,2,bitmask
matrix,hard,7,simulation
tree,easy,2,graph theory
binary search,medium,3,tree
system design,hard,7,concurrency
matrix,medium,4,simulation
greedy,hard,6,dynamic programming
binary search,medium,3,graph theory
backtracking,medium,3,recursion
sorting,medium,5,greedy
depth-first search,medium,5,breadth-first search
monotonic stack,easy,2,sliding window
binary search,hard,7,tree
monotonic stack,medium,3,sliding window
dynamic programming,easy,2,bitmask
string,easy,1,hash table
breadth-first search,medium,5,graph theory
simulation,hard,6,design
depth-first search,easy,2,breadth-first search
math,medium,5,number theory
graph theory,easy,1,minimum spanning tree
two pointers,easy,2,array
graph theory,easy,2,minimum spanning tree
recursion,hard,6,divide and conquer
binary tree,easy,2,depth-first search
shortest path,easy,1,graph theory
sliding window,medium,4,two pointers
matrix,medium,4,simulation
binary tree,easy,1,depth-first search
stack,medium,3,monotonic stack
concurrency,easy,1,design
backtracking,easy,1,recursion
math,medium,4,number theory
binary search,medium,5,graph theory
simulation,hard,7,design
dynamic programming,medium,3,bitmask
simulation,easy,1,design
number theory,medium,5,combinatorics
matrix,hard,6,simulation
shortest path,hard,7,graph theory
string matching,hard,6,rolling hash
concurrency,medium,5,design
dynamic programming,hard,6,memoization
string matching,medium,5,rolling hash
segment tree,hard,6,binary indexed tree
binary indexed tree,medium,5,range query
array,hard,6,hash table
divide and conquer,easy,2,segment tree
backtracking,medium,4,recursion
breadth-first search,easy,1,graph theory
backtracking,medium,3,recursion
trie,hard,7,string matching
number theory,easy,2,combinatorics
two pointers,easy,2,array
combinatorics,easy,2,probability
concurrency,hard,6,design
string matching,hard,7,rolling hash
string matching,medium,4,rolling hash
monotonic stack,easy,2,sliding window
hash table,hard,6,graph theory
linked list,easy,2,doubly-linked list
depth-first search,medium,5,breadth-first search
probability,easy,2,statistics
segment tree,easy,1,binary indexed tree
linked list,medium,4,doubly-linked list
linked list,easy,2,doubly-linked list
string matching,hard,7,rolling hash
design,easy,2,system design
string matching,hard,6,rolling hash
backtracking,easy,2,recursion
sorting,medium,3,binary search
binary tree,medium,3,depth-first search
design,hard,6,system design
sorting,medium,4,greedy
dynamic programming,easy,1,memoization
depth-first search,hard,7,breadth-first search
concurrency,medium,5,design
sorting,easy,1,binary search
design,medium,5,system design
number theory,medium,5,combinatorics
binary indexed tree,medium,4,range query
graph theory,hard,6,minimum spanning tree
breadth-first search,hard,6,graph theory
breadth-first search,medium,5,graph theory
binary search,hard,7,graph theory
dynamic programming,medium,5,bitmask
depth-first search,easy,1,breadth-first search
graph theory,medium,4,shortest path
matrix,hard,6,simulation
math,medium,4,number theory
concurrency,medium,4,design
number theory,easy,2,combinatorics
tree,medium,5,binary tree
hash table,hard,6,tree
breadth-first search,easy,1,graph theory
concurrency,easy,1,design
dynamic programming,medium,5,bitmask
breadth-first search,easy,1,graph theory
tree,hard,6,binary tree
probability,easy,1,statistics
sliding window,hard,6,two pointers
segment tree,hard,7,binary indexed tree
monotonic stack,medium,5,sliding window
sorting,medium,5,greedy
backtracking,easy,1,recursion
recursion,easy,1,divide and conquer
stack,medium,3,monotonic stack
shortest path,medium,4,graph theory
concurrency,easy,1,design
depth-first search,medium,3,breadth-first search
bitmask,easy,1,backtracking
tree,medium,5,graph theory
divide and conquer,medium,3,segment tree
trie,easy,2,string matching
math,easy,1,number theory
system design,medium,4,concurrency
binary search,hard,6,graph theory
breadth-first search,medium,4,graph theory
depth-first search,easy,1,breadth-first search
linked list,easy,1,doubly-linked list
breadth-first search,hard,7,graph theory
shortest path,medium,3,graph theory
segment tree,easy,2,binary indexed tree
two pointers,medium,5,array
concurrency,easy,2,design
design,hard,7,system design
segment tree,medium,4,binary indexed tree
simulation,hard,6,design
concurrency,hard,6,design
depth-first search,easy,2,breadth-first search
math,medium,4,number theory
greedy,easy,2,dynamic programming
combinatorics,hard,7,probability
recursion,medium,3,divide and conquer
greedy,easy,1,dynamic programming
string,hard,6,hash table
combinatorics,easy,2,probability
breadth-first search,hard,7,graph theory
array,medium,3,string
rolling hash,easy,2,suffix array
monotonic stack,medium,3,sliding window
binary tree,hard,7,depth-first search
system design,hard,6,concurrency
probability,medium,3,statistics
binary search,medium,5,tree
breadth-first search,medium,3,graph theory
simulation,hard,6,design
two pointers,medium,4,array
concurrency,medium,4,design
system design,easy,2,concurrency
number theory,medium,5,combinatorics
binary tree,easy,1,depth-first search
binary tree,hard,6,depth-first search
binary tree,hard,7,depth-first search
stack,medium,3,monotonic stack
number theory,medium,4,combinatorics
depth-first search,easy,2,breadth-first search
trie,hard,7,string matching
combinatorics,hard,6,probability
tree,medium,5,binary tree
trie,medium,4,string matching
string matching,medium,4,rolling hash
depth-first search,medium,5,breadth-first search
bitmask,easy,2,backtracking
string matching,hard,7,rolling hash
design,hard,7,system design
hash table,easy,2,graph theory
matrix,medium,3,simulation
binary tree,easy,1,depth-first search
matrix,hard,7,simulation
design,medium,4,system design
binary search,hard,6,tree
concurrency,medium,3,design
matrix,hard,7,simulation
hash table,medium,5,graph theory
dynamic programming,hard,7,memoization
binary search,medium,5,tree
sorting,medium,4,greedy
matrix,easy,1,simulation
tree,easy,1,graph theory
sorting,easy,2,greedy
hash table,medium,5,graph theory
segment tree,hard,7,binary indexed tree
tree,hard,7,graph theory
stack,hard,7,monotonic stack
concurrency,medium,3,design
greedy,medium,5,dynamic programming
depth-first search,medium,3,breadth-first search
bitmask,medium,5,backtracking
concurrency,medium,3,design
binary search,medium,5,graph theory
binary tree,easy,2,depth-first search
rolling hash,medium,3,suffix array
string,medium,5,sorting
recursion,hard,6,divide and conquer
tree,medium,4,binary tree
monotonic stack,easy,1,sliding window
graph theory,hard,7,shortest path
stack,medium,3,monotonic stack
sliding window,easy,2,two pointers
greedy,hard,7,dynamic programming
two pointers,hard,6,array
depth-first search,hard,6,breadth-first search
segment tree,hard,7,binary indexed tree
monotonic stack,easy,2,sliding window
dynamic programming,medium,4,bitmask
probability,medium,4,statistics
number theory,medium,3,combinatorics
depth-first search,medium,5,breadth-first search
trie,easy,2,string matching
matrix,medium,4,simulation
concurrency,medium,3,design
number theory,medium,3,combinatorics
backtracking,hard,6,recursion
string,hard,7,hash table
monotonic stack,easy,2,sliding window
segment tree,hard,6,binary indexed tree
combinatorics,medium,4,probability
shortest path,medium,5,graph theory
two pointers,hard,7,array
simulation,medium,3,design
simulation,easy,2,design
design,easy,1,system design
recursion,easy,2,divide and conquer
math,easy,1,number theory
binary tree,easy,1,depth-first search
depth-first search,easy,2,breadth-first search
sorting,medium,5,binary search
stack,hard,7,monotonic stack
string matching,hard,6,rolling hash
math,hard,7,number theory
dynamic programming,hard,7,memoization
system design,easy,1,concurrency
dynamic programming,medium,5,memoization
linked list,medium,4,doubly-linked list
tree,hard,7,graph theory
combinatorics,medium,5,probability
two pointers,medium,4,array
breadth-first search,medium,5,graph theory
binary indexed tree,easy,1,range query
greedy,medium,5,dynamic programming
probability,medium,5,statistics
binary tree,easy,1,depth-first search
rolling hash,medium,3,suffix array
combinatorics,easy,1,probability
monotonic stack,medium,5,sliding window
two pointers,medium,5,array
probability,hard,7,statistics
simulation,hard,6,design
sorting,easy,2,binary search
binary search,hard,7,tree
trie,hard,6,string matching
linked list,medium,4,doubly-linked list
dynamic programming,hard,7,bitmask
greedy,hard,7,dynamic programming
graph theory,hard,7,shortest path
combinatorics,medium,3,probability
linked list,easy,2,doubly-linked list
segment tree,medium,3,binary indexed tree
depth-first search,easy,2,breadth-first search
two pointers,hard,6,array
binary indexed tree,medium,5,range query
divide and conquer,hard,7,segment tree
divide and conquer,medium,5,segment tree
string,hard,6,hash table
math,easy,1,number theory
rolling hash,hard,6,suffix array
depth-first search,medium,4,breadth-first search
shortest path,hard,6,graph theory
breadth-first search,medium,4,graph theory
trie,medium,5,string matching
matrix,hard,6,simulation
design,medium,3,system design
rolling hash,easy,2,suffix array
design,easy,2,system design
binary indexed tree,hard,6,range query
sorting,hard,7,binary search
concurrency,hard,6,design
backtracking,easy,1,recursion
binary search,medium,4,tree
design,hard,6,system design
segment tree,easy,2,binary indexed tree
divide and conquer,medium,4,segment tree
graph theory,easy,1,minimum spanning tree
stack,easy,2,monotonic stack
binary tree,easy,2,depth-first search
depth-first search,hard,6,breadth-first search
